id,control,input,output
yelp_train_510261,Negative,Not very impressed with this,place! Everything I saw was over priced and was not very unique. I would not visit this location again :(
yelp_train_126763,Negative,This is like,"the older womans Torrid, which is good for older women I guess. I've shopped here before in Colorado and I sometimes find sales. This time around I found thins bra thing for 7$ half off so it was 3$. The other clearance stuff was like 20-60$!! I know fatties need more material to make clothes, but seriously. Why do they have to charge an arm and a leg for clothes? Paying 69.50$ for a pair of jeans is no bueno! Someone really needs to build a store were people who donesnt have 150$ to spend on a shirt and 1 pair of pants can shop. This place SURE isnt it! Also, just because I'm fat DOESNT mean my thighs are the size of a Buick! It also doesnt mean that my crotch hangs down to my knees!! So why the eff are the zippers soooooooooooooo long?!  Once again, I'll stick to Ross and Old Navy... MUCH CHEAPER and Ross actually sells LB unsold out of season crap."
yelp_train_209733,Positive,This place is,"pretty cool. Especially for amature golfers like my self. Being in a desert type golf course, in a cool 73-77 degree, sunny and breezy weather with couple of my best friends made this experience awesome. The people that take care of the guest are super friendly. Really easy going and patient staff. One thing I hate are stuck up staff members who work at a course, just so they can play for free. These were not those people. From the point at the Bag Drop Off, to registration, to the Cart Pick Up, to the first tee; every single person that worked there were really helpful and kind. While we were waiting for our tee time, the guy at the first tee informed us about the way the courses all ran and what to watch out for. He was really funny and seemed to love his job a lot. They had food and drink carts going around. They even put ice and water bottles in our cooler for us. Gave us towels and tees. I'm sure this all went with the course fees. They also had Food and drink stands at the 5th and 15th hole. That was good, cus I was starving after the first 9. The prices were not the usual Las Vegas prices (thank God!). I got what I thought at that moment was the \""best\"" hot dog EVER. It was just a regular hot dog."
yelp_train_529116,Negative,,"This is the second time we've been to Cogburns and there have been open seats/booths and were told it would be a wait. Well, tonight we were told we could hang out in the bar area and just \""Wait\"" for something to open.... Completely disappointed and not at all professional.  Now I still have them two stars, because we've been there more then this, overall, the service Isn't horrible and the food is actually pretty good. I'm just hoping their hostess staff could get it together and been more Helpful and inviting. There aren't a lot of joints like this where we live, and we do go out of our way for Cogburns, I just hope this doesn't happen a third time..."
yelp_train_389998,Negative,I stay,"in this hotel regularly for military duty. Over the years I've heard reports of bed bugs being found in the rooms. I always check the corners of the mattress, but this was not enough. On June 5-6th, 2014 I woke up to bed bugs crawling all over my pillows. After switching rooms and still not feeling comfortable I was switched to a different (and much better hotel -- The EconoLodge, also on East Washington). Management was extremely insensitive as the female manager attempted to reassure me that they take the proper procedures to rid their hotel of bed bugs but never once apologized to me; she was more concerned with highlighting the hotel's procedures (which were NOT followed properly, obviously). Military PUBLIC HEALTH inspected the room and found the bed bugs infestation under the mattress. They confirmed the proper procedures were NOT followed and that no one had checked my room in 5-6 days and that if they had they would have seen the sure signs of bed bugs. The State Health Department was also notified. I had to go to the ER due to the allergic reaction from the bites. Since Friday I have found over 100 bites all over my body and I'm on steroids/other medications. In addition, I have had to all but quarantine all my belongings in order to not bring bed bugs into my home. Lastly, my car was broken into last year while parked at this hotel. OVERALL, DO NOT STAY IN THIS HOTEL."
yelp_train_41653,Positive,Wow -,"reading some of the reviews make me sad that people were treated so poorly at Mikado.  Mikado has been our go to spot for sushi in south chandler. Their service isn't outstanding, but I typically don't go to sushi restaurants for great service (which is weird, because I am really really picky about getting great service when I am out to eat). Anyhow - the sushi is great, it is decently priced, and I have never been yelled at by the staff (so that is a plus!).  But in all seriousness, we will keep going to Mikado. I love sushi and they have several non-sushi options for my non-sushi-eating-husband."
yelp_train_70796,Negative,Nothing special.,"Not a great breakfast place and their Italian dinner items are bland. Went twice. Never again. On my second visit we went with another couple that had an Entertainment Book coupon. The staff wouldn't allow us to sit together and use both coupons. (Only one coupon per table, they said, although that wasn't specified on the coupon.) So our friends had to sit at a table next to us and we shouted at each other to have a conversation. Ridiculous. Plus their highly touted banana bread reeks of artificial banana flavoring, not fresh bananas; and their special potatoes (served instead of standard hash browns) are like thick, hard, and slightly greasy potato chips. I don't get the couple of enthusiastic reviews here. Perhaps they have a storied past, but for a Vegas newcomer (two months) this isn't even up to a Denny's standard."
yelp_train_573166,Negative,Today,"I had gone to this t mobile store to buy a new phone because I had just cracked mine. When I entered the store no one greeted me and there were two cashiers and another gentlemen in the back that kept coming out every so often. Originally there were only 3 customers including myself and 3 workers which made sense that I wouldn't be waiting to long to get my new phone. I got in line behind a person who was already in the middle of his transaction thinking it wouldn't be long while I got attended to. I kid you not 6 people walked in, in the course of me standing behind this one guy and no one offered to help me. I asked one lady and she told me rudely to hold on. Not till I almost walked out did another lady ask to help me. When I finally got her to grab what I needed she seemed careless and never acknowledged me because she was to busy conversing with her fellow coworkers. I was never so offended to not being helped. They had no professionalism nor common curtesy. Never again will I step foot at this tmoblie store. Almost made me want to cancel my phone."
yelp_train_535836,Positive,"Good food, and very warm","service! Plus, they had a band tonight!! Love the Lomo Saltado...I've tried a bunch of other things on other trips, but just wanted to get to the main course tonight. Everything we've had here has been tasty, and the people who work there are very friendly. One of my favorite places!"
yelp_train_197304,Positive,Best omelet,"ever. The O'Pear Grenache omelet was incredible, I tasted my companions and was immediately regretting my choice of French Toast. The French Toast was really good, but didn't compare to that omelet. The service was incredible. The place was absolutely packed, but my table of two never lacked for attention. What we did lack was space! The table we were at was TINY, our meals and drinks barely fit on the table. The restaurant itself is not large, it is actually quite cramped. Don't go here if you are bothered by crowds and cramped quarters. It's also quite loud on weekends, conversation was difficult. We went on a Saturday around 10am. We managed to get a table immediately, but it looked like most others had about a 15 minute wait."
yelp_train_423522,Positive,I am absolutely,"a fan, a veteran fan at that. I began going to Dandelion Market before it drew it's large nightly weekend crew, and before they began charging cover for guys. I really love the bartenders, and the environment. The bartenders remember me whether I've been there a few times within one week or if I haven't been there in over 3 weeks. The atmosphere is also nice because it offers a dichotomas separation between party dance thumping (upstairs) and a busy pub atmosphere downstairs. I've also tried some of their food before and was pleasently surprised. My only reason for not giving Dandelion Market 5 stars is because the upstairs section on weekend is not equipt to handle the amount of people coming in. It has been increasingly difficult to get a drink, or to even have a decent amount of room to dance. After 11 on a Friday and Saturday leads to something I call the Sardine Effect. I'm sure you can figure that one out.  I've had many good times here but you just have to pick and choose the nights you come or be prepared for a more crowded scene (on the weekends)!"
yelp_train_443656,Negative,Food,"was just ok... Not impressed at all. I was dying to have a good Cuban sandwich, but again I was not impressed. I asked the waitress if the mojito chicken was spice (for my daughtet) and she said no... Well I love spice food... And that's was pretty spicy!! And the mojito... Don't order that...13.59 and worse mojito I have had in my life!! Not coming back :("
yelp_train_510845,Positive,While we were,"walking the strip, we got tons of offers to attend clubs. We settled on Gallery based on the offer and the car service Jerome (the promoter) offered us (THAT NEVER SHOWED UP!!). It was a Friday, we were celebrating my best friends 30th birthday and we had the BEST TIME HERE!! THE DJ WAS ROCKINNN' THE CROWD WAS LIVE, BATHROOMS WERE NOT OVER CROWDED AND DRINKS WERE NOT WATERED DOWN. We went to Koi (BOO!!) Marquee & Drais and by far GALLERY IS THE BUSINESS!! Did I mention Juicy J from three 6 mafia was in the building, partying?"
yelp_train_213884,Positive,On,"thursdays, there aren't as many people but you still get all the great music and you get to enjoy the interior a little more. However, every other night of the week, hundreds and hundreds of people are going to be packed in here and hundreds more won't get in... if you like that... well, I think that used to be fun."
yelp_train_582049,Positive,,"Love this place! Donna has sprayed me MANY times including for my wedding & makes the perfect tan. She's super sweet & makes you feel comfortable. I personally like to be very dark & the multiple other spray tan salons I visited never get me as dark as I like, but Donna always gets me the perfect color! I used to live near this salon, but moved & drive 30 min to get sprayed here. I definitely recommend, coming from someone that's tried every tanning product under the sun!"
yelp_train_535356,Positive,Four,"stars alone for this store actually existing in real life. I am truly impressed that some amazing person's time and money was put into creating a store dedicated to a (potentially) impossible threat. As for the goods, there are plenty of zombie items but also a lot of stuff that will keep you alive once Vegas implodes. If anything, go to store just to say you've gone. And while you're there, pick up a poster, sticker or machete to support this ridiculous business endeavor."
yelp_train_40795,Negative,Went there for,"lunch today with my wife since we saw a good review in the paper. We were kind of disappointed. I had the menudo--while a big bowl, it was not very flavorful. And we also ordered three of the standard (small) tacos - fish, canitas, and carne asada. Fish was very skimpy and not good. The carnitas and carne asada tacos were also poor -- meat chopped into itsy-bitsy pieces and overcooked. It was like eating bits of dried and flavorless cardboard. We prefer the meals at the place on the Southern and Mesa Drive -- a Mexican bakery that also has good food."
yelp_train_463411,Positive,Excellent,food; full of flavor. Everything on the menu is great. Service is great. Great place for any occasion.
yelp_train_40339,Positive,I've been to,"Teakwoods a couple different times and have enjoyed myself each and every time. My last visit was one of the most memorable. We were there in large group and they ran out of the larger draft glasses on the last 2 of us (me and my boyfriend). So, they brought us each out a mini-pitcher full of beer and charged us for the glass. Amazing!  The service is great- quick and friendly and with peanuts on the table, you can't go wrong. Inside, it's your standard local bar (with peanut shells all over the floor). And, on the outside, it's tucked inside a strip mall with ample parking."
yelp_train_20278,Negative,The owner,"and her husband are god awful. We went for the first time last night and it's pretty obvious that she has a drinking problem/can't hold her liquor. She ended up calling me a f*cking b*tch. I'm sorry, but last time I checked- it is NEVER okay to talk to a customer like that. I would steer clear of this place. I definitely will not be visiting here again. Which is extremely sad because I really thought the bartenders were very nice."
yelp_train_283962,Positive,We,"will definitely go back! It's been years, but we decided to go since we saw Del's on the Food Network. The place was busy! Six of us had great meals. Hubby and son had pasta dishes filled with seafood, nice and fresh--not fishy. Other son had fettuccine alfredo and almost licked the bowl clean. My father had a lasagna, veal, eggplant parm platter and he loved it! My daughter and I split a pizza. It was good but not great. Marianne came over to the table to great us, she was pleasant and relaxed!! Our wait staff was friendly and knowledgeable. Yay, Del's! Hope you are around for many more years!"
yelp_train_610319,Negative,Went through,"the drive thru and this Filipino lady forgot to give me dipping sauce for my nuggets or napkins. So I kindly asked her, how come you guys never ask me if I need any sauce like other places? She said, don't tell me how to do my job. Easy cowgirl!"
yelp_train_254383,Positive,Love this,"place! I had a coupon for buy one entree get one free, but the bar code wasn't on my email & I couldn't get one to pull up on my phone. The manager took the meal off our bill anyway, even though we were going to eat there anyway. And the food was awesome as always."
yelp_train_288776,Positive,,"I absolutely love this place! The chicken and pine nut salad is fabulous, as well as the chicken pesto pizza, for my not-as-healthy days. Other pizzas are also good and the roast beef panini. The chocolate chip cookies are fabulous!  The restaurant is very clean and the staff very friendly. I actually pick up food more than I dine in and I am always impressed with how they repeat your order back to you and show you everything before you leave with it so you know your order is correct. I'm here at least twice a month!"
yelp_train_440559,Negative,"Hot? uh, NOT!....","I am very disappointed in the results from my recent visit, which by the way was because of all the positive reviews I read. This salon was dirty and I should have gotten a clue because I was the only customer in the place. The person who cut my hair was very unprofessional and stank of musty cigarette smoke. She attempted to give me a \""one size fits all\"" haircut which left my hair a mess even after I was very specific in what I wanted. Do yourself a favor and DON'T GO HERE!!"
yelp_train_122786,Negative,,"The BF and I stayed here this past weekend because we booked last minute and this was the cheapest option at 70$ per night. Let me start by saying, although this place isn't bad, I never want to stay here again. The room was fine, but the bed was old and uncomfortable and the bathroom had random hairs all over....the cleaning was pretty far from thorough. My main complaint, though, is although they have a shuttle to the strip, it ends at 9 pm....so obviously, we had to cab back....and the cab ride cost 35$....whoa. There goes the savings. I can see staying here with a family as they do have a lot of things all under one roof....movies, bowling, casino, restaurants, and even an animatronic show....It's just not for me."
yelp_train_399124,Positive,Stumbled upon,"this place when i was driving down maryland pkwy. Tacos are good, sopes are legit and the fired oreos are to die for. believe me! #foodiehuxstable out!!"
yelp_train_414090,Positive,Definitely not a bad option,"if you're looking for something off the strip or if you need to stay out in Henderson. We opted for this hotel because they were able to accommodate six adults at a decent price. We got one room with two queen beds and a pull-out sofa bed for a total of $110 which is less than $20 per person. The rooms weren't bad at all. The beds were comfy, the room was clean, and the bathroom wasn't gross, what more could you really ask for from a Comfort Inn?  For the most part the staff was rather friendly. My only real grip with the hotel/staff was that they were knocking on our door at 9am. Yes, I know that isn't THAT early but in Vegas 9am is probably considered 6am to most people. I understand they have a job to do and all but they should know who has checked out and shouldn't be knocking on guests doors to figure this out. Secondly, Maria and Juan were talking up a storm right in front of our door after this. I swear no one wants to hear that at 9am in the morning. I expected much more from the staff. It is a hotel for gods sake, people do come here to sleep.  Overall Great value for what you get.  Tip They have a cookie hour and a continental breakfast. Parking isn't awful but if it's a busy weekend you'll find yourself struggling to find parking."
yelp_train_601827,Negative,They're,"stuck up and won't let you in! Got there at 10:30 and waited in the general admission line with 3 girls. Got to the front of the line and that's when the bouncer started with his B.S. about the place getting packed, and that the only way to get in now is to get a table. The place was NOT packed first of all, it was barely 11pm. I really hope this place burns in hell, and goes bankrupt. The bouncers are a-holes. Note: There's cover also, $10 for girls and $15 for guys which I was willing to pay."
yelp_train_246334,Negative,First,"and Last time I use their service!! Totally a RIP OFF!!  Auctioned some jewelry through them a couple months back. Told their CSR that I wanted no less than $200 take home for the jewelry and if they couldn't guarantee that, then I would rather keep it. She said that she would start the bidding there and projected my items would do well in auction. Well they auctioned it alright. Started my pieces way below $200. They sold for $265. Their fees are 33% AND about $30-40 in \""ebay\"" fees. (Which they offer no breakdown for.) Needless to say they took almost half of what the jewelry sold for. Not to mention it took over a month to get my check from them.  I honestly would have made more money had I sold them to a pawn shop.  Not worth it.... and definitely not worth the wait."
yelp_train_278854,Positive,I,"love Hollywood and movies, so this was the restaurant I wanted to eat at while in Vegas. I was impressed with their brunch. When we got there, I saw The Hollywood Reporter as placemats at the table, with recent Hollywood events and movies that were being released or had recently been released. There were also televisions around the restaurant, which was great during the Olympics. The service was okay. I felt rushed. We got there at the end of brunch and there wasn't a huge crowd, so I didn't get why they were in such a hurry to get us out of there. They had a decent selection of food. I got the waffels, which were good. They are not the cheapest place, but it's on the strip and there is a fun atmosphere. For being right in the casino, it wasn't too loud, which was really nice. It wasn't too quiet but I could hear the person across from me. While I may have enjoyed the ambiance and the idea of the restaurant more than actually eating there, I enjoyed eating here and want to go back next time I'm in Vegas. It's a fun, casual place to get brunch on your way out of the hotel. It's not a restaurant you have to dress up to go to, but it would be fine."
yelp_train_630147,Negative,Don't try to step,"out of the venue for any reason . You'll be interrogated by the gendarme at full length. The buzz among the food biz is this contrived confused entity is hemorrhaging money and servers are leaving left and right. If you want to waste your money to say you experienced RRL , Hurry! It won't be there long"
yelp_train_82420,Positive,,"There are many Palm Beach Tan locations so this is a review of the one off of Woodlawn. The first thing I noticed is that it is very clean. Both the lobby and the tanning rooms are spotless. The layout is open and airy and the staff are friendly. I never enter without a hello or leave without a goodbye. They also provide some small freebies in case you are in need (i.e. hair ties, deodorant, tissues, etc.). There are a wide range of packages which also means there is a wide range of pricing plans. I would definitely recommend going to the website and printing off a coupon. There is ALWAYS an offer for a \""new member.\"" I personally do spray tanning since I try to be kind to my fair skin. They have the latest Versa Spa which is great but the downside is that there is just one. So for me, I've had to wait to close to a half hour if there is more than one person in front of me (hence, the not 5 perfect star score). It is especially bad right after work (M-F) or on Saturday afternoons. However, it does seem like people doing the \""regular\"" tanning have a quicker turn-around time."
yelp_train_82664,Positive,I came into this,store and I said to myself wth is a Belk? there's no such thing as Belk on the West Coast. For one I think it's better than Macys and Nordstroms. They actually have sales that are worth it. I got a $200 jacket for $65 bucks. you would of thought it as Black Friday in the middle of February. All the employees are helpful and very nice.
yelp_train_629284,Negative,,"These guys are joke. Went in to get my iMac checked. One guy was clueless as to what he was talking about. Then this other guy show up to drop an outrageous quote. Last but not least, they gave me attitudes the whole time.  F*%# this place. NOT recommended. Unless if you want to be treated horribly and be ripped off."
yelp_train_86620,Positive,Great food. The,"only thing keeping the review from an all out five stars is that it's a pretty loud restaurant. I love this place (and it's in a great location). Great food. If you're g0ing, don't waste your time on anything but the steaks. That's not to say everything else isn't good; just that you go to Delmonico's for steak."
yelp_train_403548,Negative,While,"the atmosphere and view are incredible and the service was good (amost too good, she wouldn't leave us alone for two seconds) we found ourself caught up in what I can only say is a scam. First we were forced into drinking the WAY over priced Voss water because she said the regular water there wasn't \""fit for her dog\"" (we actually thought since the place was new that there was some kind of bug needed to be worked out). Actually, we weren't even asked whether we wanted water or not it was just poured. I even tried to block the attemp and she brushed my hand away. Great view but... over priced."
yelp_train_31288,Negative,,"Having grown up in Nafplion, Greece and lived in Tarpon Springs, Fl I wasnt expecting much to begin with. I tried the chicken gyro which left a lot to be desired. The chicken was rubbery and it looked like they carved it out like gyro meat. Had two pieces of tomato very few onions and some tzatziki sauce. Honestly the best thing about the meal was the fries. Price was higher than average for me.. Around $8 for the chicken gyro and fries no soda."
yelp_train_645776,Negative,If,"I could give it a zero star, I would jump for it right away. But since I have to give something to write a review so they got a star that they don't deserve. First of all, when we get to the valet, my husband just pulled behind another parked car thinking it must be a line for the valet. The valet guy told my husband \""you need to pull up all the way up there to the right, you are blocking the traffic!\"". I'm not quite sure how we are blocking the traffic when we were just lining up behind other cars. We are checking in as hotel guests and that's the welcome line that we got from them. He could have easily told us \""welcome to Palazzo! Could you please pull up to the front?\"" I mean is that how the hotel trains the employees to welcome their guests??? Secondly, which also was the reason why I have to write this review, when my husband checked in at the front desk, they told him that they will upgrade us to another suite in the Venetian towel because the one we booked doesn't have a view. We bought that thinking it will be a nicer, better room. Little did we know, the place is actually smaller, 700 square feet compares to 720 square feet suite that we originally booked. The room does look older than the palazzo ones although the layout is almost the same. Not even a fridge provided which we kinda expected from high end hotels. Anyway, we had to walk across the whole hotel to get to the Venetian towel next to grand lux cafe, they stuffed us in the very last room in the 11th floor at the very end of the hall way that literally takes more than 170 steps to get there from the elevators. This is not what I expected for paying $300plus/night for a room. I have stayed at Wynn and Encore and their rooms are a lot nicer, more spacious and brighter then this crappy room for cheaper prices. On top of that the view is not even the one that I can call mediocre. Just the view of the pool, looking down to a roof of some building and not even partial view of the strip was insight. My husband called back and asked to be back to the palazzo, to the suite that we originally booked and they said they were fully committed for that night! How on earth that you were fully committed when we did reserve our suite??? They said to call back in the morning to check on the status to be moved back to palazzo! We felt that we were being shafted with a lie from the hotel's front desk to make us feel like we got a deal to get upgraded to a better spot when they actually ran out of the room that we originally booked. This kind of service is unacceptable at a 5 star-rated hotels like Palazzo and deceptive to the guests. Now we are stuck at this end-of-the hall hole. My husband got so upset and ruining the mood of our family vacation. Obviously Palazzo put their benefit above the guests' comfort, convenience and satisfaction! We have stayed at Palazzo before but this stay will be the last ever for us here. Never coming back and we will be sure to spread the \""quality\"" if their customer service to others."
yelp_train_512759,Positive,A,"group of friends and I stopped by here after a long road trip. Suffice it to say, we were starving. We each ended up getting the chicken arepas, not being too adventurous as that is the #1 slot on their menu. I thought it was pretty tasty, although the meat was quite dry (confirmed by my friends as well). Prompt, nice service. Will have to try something else next time around!"
yelp_train_555630,Negative,,"During one of my business trips last week, I decided to try a lesson in time management and actually get to the airport on time. Not only did I succeed, I arrived early enough to grab a bite to eat so I'm not stuck with peanuts. Enter: Sauce. Not too shabby of a place for being inside an airport, I guess. I'll have to agree with a reviewer below me - the service is \""ehh\"" and they don't care about much more than taking an order. For example, it was my first time and I had a couple questions about the \""build your own pizza\"" and the guy at the cash register was less than thrilled. I ordered a glass of chardonnay and he asked me if I wanted ice... oh God. Why didn't I just turn around at that point? So I ordered a basic pizza. It had some fancy name to it, but it was just a cheese pizza. Thin crust, minimal sauce (the irony) and not much to be remembered. So I ordered another glass of chardonnay and sucked it up.  Note: The seating arrangement is awful. There are bar stools and tables and you won't find a seat for awhile because the tables seat up to 4 people, and if 1 person took that table - they won't seat you there.  However, it is probably the best you'll get if you need to dine in at the airport - unless you want McDonalds or some crap Mexican food. The prices aren't bad (about $9 for a whole pizza and $5 for chardonnay) along with a variety of other items (pasta, salad, sandwiches, breakfast food). Maybe I just ordered the wrong stuff, but I don't see myself going back for round two."
yelp_train_94904,Negative,,"Didn't want to taste anything here because when I asked to speak to the owner, I was told by the manager that the owner would not be receptive of me \""if you know what I mean\"" is what she said. I took this as a racial remark"
yelp_train_427004,Positive,"Kool small joint, reminds me","of the Mission District in my old San Fran hood. Authentic street food. Cheap prices, strong salty Patron Margaritas. Insane horchata in a huge glass ?40 oz??? Ridiculous slow service on Saturday nights. Chips not salted but thats ok because of the kick ass salsa collection."
yelp_train_637268,Negative,If you,"are looking for surly staff and awful food then this is the place for you. Left a half eaten sawdust burger and went to Jack in the Box to get a more palatable meal after the waitress assured me the burger wouldn't be dry. BTW - she told me the only way the cook could make the burger was pink or no pink, not medium well."
yelp_train_67373,Negative,What an,incompetent group of people. How hard is it to correct a last name and an address I've never even lived at???
yelp_train_379633,Positive,I have enjoyed,"Archie's Deli before but never wrote a review. I told my friends about it and they were dying to try a new (kosher-style) deli on the west side. We agreed that the \""old place,\"" (Why give them a plug HERE?) that has a location near Paradise Valley mall and another in Scottsdale, had been a big disappointment to us recently (rhymes with Rhompies) due to poor and slow table service, crowded facilities, and high prices.  \""The Guys\"" were thrilled with Archie's and so am I (still). Sure, it's not inexpensive to eat there but OMG the sandwiches are delicious, huge (I took the other half of my sandwich home), and not a bad deal at all. Our server was very polite (albeit the fact that I had to work hard to catch her eye for more pickles and crunchy green tomatoes). Our order was taken quickly, we were asked several times how we were enjoying our \""nosh,\"" and we didn't have to wait for the check to arrive shortly after being given an opportunity to decide if we wanted dessert. There are lots of goodies in the bakery and deli cases if you want to take something home for later (e.g., potato and vegetable knishes, chopped liver, red velvet cupcakes, cheesecake, and carrot cake).  Want to eat cheap? Go to Burger King and order off the dollar menu. Want some noshy nom-noms? Go to Archie's!"
yelp_train_161202,Positive,we stayed here the first,"time we went to vegas together. it was last minute so we found the room for cheap on a travel search. we upgraded at check in which was a reasonable cost. we also got access to a private lounge. free food and alcohol was a plus, and we could take it back to the room. the hotel is huge, we got lost looking for the elevator a couple of times. and speaking of the elevator, the wait was crazy long sometimes. it was a big clean room, that was nicely decorated with a comfortable bed. the downside is that it was off the strip and the tram was having maintenance done."
yelp_train_273322,Positive,All of the Vietnamese,"sandwich shops that my family went to when I was young have long closed, or sold off to people who let their quality decline. So my mom and I ventured to try this place next to her hairdresser after the owner suggested this place. The young cashier speaks Vietnamese and English, so you do not need to fear the language barrier. I saw many people of all different ethnicity enter and order without issues. They are also patient enough if you are like me and get into fights with your family about who gets to pay.  There is one table inside the restaurant and two outside. This place is more of a take out venue for a quick grab and go lunch. Although it does not provide places to lounge about, it offers a wide range of excellent Vietnamese options. We ordered five special sandwiches, one meat stuffed bun, a plate of ground pork and mushroom rolled noodles, and a plate of red pork bites. The sandwiches were everything a good banh mi should be; crunchy, savory, sweet, complex, with a bite from the green peppers. The noodles are a favorite since childhood and I recommend getting some Vietnamese sausage to go with them. The steamed meat bun, after reheating, is the perfect breakfast with a cup of strong coffee."
yelp_train_325555,Positive,The,tikka masala is to die for. Love the food here. The staff is also super patient about explaining the menu. This is far from home but I'll still make the journey. I hav dreams about the tikka masala.
yelp_train_361536,Positive,I have been to,"Casanova Brothers Pizza twice and had good experiences both times. The owner was there the first time I went, and he was very friendly and got to know my name. I felt very welcome and appreciated on both occasions. I have tried the pizza as well as the pasta. I enjoyed pretty much everything I have eaten at Casanova Brothers Pizza. They have both Sicilian and New York style pizza available, and I would recommend either one. The pasta was very tasty as well. The prices are reasonable too. The restaurant is a bit small and gets quite crowded, so you may want to go during non-peak hours. You order at the counter, and then the food is brought to your table. Despite the crowds, the food arrives quickly. If you are in the mood for tasty pizza or pasta at a reasonable prices, definitely try Casanova Brothers Pizza ."
yelp_train_294015,Positive,Been coming,to Ay-Chung regularly since they opened several years ago and always have the Beef Noodle and stinky tofu. Sad to report that they have closed for business (according to the sign on 5/21/11).
yelp_train_64059,Positive,"Oh Golden Steer, I","totally have a crush on you! The Golden Steer is such a throwback to Old School Vegas. When you walk through the front door, you are transported back to the 1950s. Back in the 50s and 60s, this was THE place to go for a great steak dinner. When you are eating, you keep looking over your shoulder to see if Frank Sinatra or Sammy Davis Jr. had just walked in. It is just way too cool in my book. So back in the old days of Vegas, all of the Vegas Elite came here and had their own table. If you were anyone, you had a table with your name on it saving your seat. This is one of the cool leftovers from that era still in the restaurant. You can request to sit at Elvis', Marilyn Monroe, Dean Martin (my favorite Rat Packer, oh Dean-o I love you!), and numerous other celebrity tables. My mom is the biggest Elvis fan in the world, so when I took her here for her birthday last year and got the Elvis table, she almost cried. It is fun to have something fun in common with a superstar from yesteryear, in if it is just sitting at the same table at a great restaurant. On top of the coolness factor, the steaks speak for themselves too. I mean when the smallest steak on the menu is 12oz, you know you are in for a feast! Last time I was here, i ordered the Prime Rib and it came out on its own plate because there was no room for anything else on the plate. The Prime Rib was even hanging over the side in more than one place. I only made a small dent in it and ended up taking it home and it turned into 2 more meals at home. Now that is some serious MEAT. Yum and drool all at the same time. Another awesome aspect of this restaurant is the table side service for the desserts. This is one of the only places left in the world that does flaming Cherries Jubilee and Bananas Fosters at your table, flames and all. It is such a fun time watching your server make your dessert right there for you. And seriously, how doesn't like desserts on fire right in front of you? My absolute favorite part of this place is if you can go on a slow night when the owner is on property. The owner is this very nice lady who will make friends with you as soon as she meets you. I have been several times and she will always come by and just sit down with us at the table. She will tell you all sorts of stories about interesting things that has happened at the place. There are even some ghost stories about the place. And yes, weird stuff still happens there. BOO! Now that is a fun dinner to have, steaks and ghosts! So if you want to experience Old Vegas, eat a huge steak, have a flaming dessert, and maybe get spooked by a spook, this is your joint. Go check it out and support a local legend."
yelp_train_439564,Positive,My,"mother was taken with a gorgeous bracelet on display in the window, so in we went to inquire about it. We looked kinda shlub-by (jeans, I just arrived from a red-eye and, well, let's just say it wasn't a pretty picture!) and I wondered how we would be received in this posh-posh small boutique store in the Encore. I was SO impressed! The staff were amazingly nice to us! I wish I remembered the name of the sales guy who helped us, as we checked out the bracelets and toured the store. He was helpful and friendly but not hovering or pushy. We were very comfortable in the store and the staff played a big part in our feeling comfortable. I later told my father about the bracelet in question and he surreptitiously returned to this store to buy it for my mother, as a \""surprise\"" gift!  This is a class-act store with down-to-earth sales folks. We will be back."
yelp_train_540783,Negative,I was on a search,"for good sushi and/or japanese in the Matthews area. I saw all of the great reviews about Fujimi so when I saw a Groupon I hopped on that and tried it out one night. Arriving at the location, my part of three requested to sit at the hibachi grill for dinner. We got a hesitant answer and we were asked if we wanted to sit in the dinning room instead. They made us wait around for what? To see if we'd change our minds so it wouldn't be a hassle for them? The grill side was 80% empty. We asked for hibachi...seat us there, shut up and give us what we want! It's not that hard..  Anyway, we decided not to get sushi. One of my friends wanted to get some of the sushi rolls that were featured as daily specials, but couldn't combine them with the Groupon I had (understandable, so I let that one go - even though my friend attempting to order the rolls was going to pay separately). Also, we were asked initially if we had a coupon (odd?), but I get it., servers especially, and even management aren't too fond of Groupons. Yeah, it gets them volume and people to try out their restaurant, but it also leaves confusion on the restaurants end and some lousy tippers. I'm all about tipping on the price before the discount is applied, but when the food isn't that great, the service subpar, and you don't feel welcomed, you really don't want to tip at all.  Either the owner has a lot of friends who are boosting the reviews, or I've lost my faith in Yelp reviews. I thought that since Fujimi got an average 4 starts out of 19 reviews that it must be good. I usually trust fellow Yelpers and rely on their critical reviews of restaurants. Maybe it's that people living in the heart of Suburbia have forgotten they have taste buds and have settled for bland food and poor management.  Whatever it is, I'm baffled at why this place got good reviews.  Adios Fujimi! I will not be returning"
yelp_train_491444,Negative,I've been here a,"million times. Usually I just go for lunch w one friend. This time I went with my family to celebrate my mom & sisters birthday. We were a party of 12. 3 of us were there first & asked for a table for 12. They told us they would not prepare a table until everyone was there. Once we were all there they took us to 2 separate tables for 6. That defeats a purpose of a family dinner doesn't it? I said \""We don't want to sit separate.\"" She seemed very bothered & said she would try to find a table for 12. I felt like it was very irresponsible that they would be so unprepared even after we warned them about our party of 12. Eventually we did get a table & the food was great."
